brand,name,item_id,current_price,was_price,unit_price,availability,rating,review_count,url,scraped_at
Always,"Always Radiant with FlexFoam Pads, Size 5, Extra Heavy Overnight, with Wings, Unscented, 34 Count",7793613052,$14.57,,,,,,https://www.walmart.com/ip/7793613052,2026-04-23T21:25:20
Always,"Always Radiant with FlexFoam Pads, Size 2, Heavy, Wings, 36 Count",518496707,$11.47,,,,,,https://www.walmart.com/ip/518496707,2026-04-23T21:25:20
Always,"Always Radiant with FlexFoam Pads, Size 3, Extra Heavy, Wings, 30 Count",1236350744,$11.47,,,,,,https://www.walmart.com/ip/1236350744,2026-04-23T21:25:20
Always,"Always Radiant with FlexFoam Pads, Size 4, Overnight, Wings, 28 Count",405007239,$11.79,,,,,,https://www.walmart.com/ip/405007239,2026-04-23T21:25:20
Always,"Always Pads, Pocket FlexFoam with Wings, Size 2, Heavy Flow, 20 Count",5D1RQXNZ0K7R,$8.9744,,9744.9 ¢/count,,,,https://www.walmart.com/ip/5D1RQXNZ0K7R,2026-04-23T21:25:20
Always,"Always Radiant with FlexFoam Pads, Size 2, Heavy, Wings, 36 Count",6M2K12WX2YBR,$11.4731,,4731.9 ¢/count,,,,https://www.walmart.com/ip/6M2K12WX2YBR,2026-04-23T21:25:20
Always,"Always Anti-Bunch Xtra Protection Daily Liners Xtra Long Length, 92 Ct",77J1A2L1RHNT,$8.979,,979.8 ¢/count,,,,https://www.walmart.com/ip/77J1A2L1RHNT,2026-04-23T21:25:20
Always,"Always ZZZ Overnight Disposable Period Underwear Size L, 7 Count",6ZPRAICVCNMR,$7.97,,,,,,https://www.walmart.com/ip/6ZPRAICVCNMR,2026-04-23T21:25:20
Always,"Always Maxi Pads without Wings, Size 4, Overnight Absorbency, 28 count",55ELUBHY1QMR,$6.2722,,2722.4 ¢/count,,,,https://www.walmart.com/ip/55ELUBHY1QMR,2026-04-23T21:25:20
Always,"Always Maxi Pads with Wings, Size 5, Extra Heavy Overnight, 36 Count",3YRKRDOW0KB9,$10.9730,,9730.5 ¢/count,,,,https://www.walmart.com/ip/3YRKRDOW0KB9,2026-04-23T21:25:20
Always,"Always Radiant with FlexFoam Pads, Size 1, Regular, Wings, 42 Count",2NSKWAD3B6W0,$11.4727,,4727.3 ¢/count,,,,https://www.walmart.com/ip/2NSKWAD3B6W0,2026-04-23T21:25:20
Always,"Always Anti-Bunch Xtra Protection Daily Liners, Extra Long, Unscented, 116 CT",59PVO2JX3TDF,$10.979,,979.5 ¢/count,,,,https://www.walmart.com/ip/59PVO2JX3TDF,2026-04-23T21:25:20
Always,"Always Ultra Thin Overnight Pads with Wings, Size 5, Extra Heavy Overnight, 46 Count",128QFENQN25L,$11.4724,,4724.9 ¢/count,,,,https://www.walmart.com/ip/128QFENQN25L,2026-04-23T21:25:20
Always,"Always Ultra Thin Pads with Wings, Size 1, Regular, 22 Count",51TR8ODDOCUX,$4.9722,,9722.6 ¢/countOptions,,,,https://www.walmart.com/ip/51TR8ODDOCUX,2026-04-23T21:25:20
Always,"Always Anti-Bunch Xtra Protection Daily Liners, Long, Unscented, 136 CT",1IZMQYPYGUO3,$10.978,,978.1 ¢/count,,,,https://www.walmart.com/ip/1IZMQYPYGUO3,2026-04-23T21:25:20
Always,"Always Radiant with FlexFoam Pads, Size 3, Extra Heavy, Wings, 30 Count",7EQYK76POQTE,$11.4738,,4738.2 ¢/count,,,,https://www.walmart.com/ip/7EQYK76POQTE,2026-04-23T21:25:20
Always,"Always Maxi Pads with Wings, Size 5, Extra Heavy Overnight, 36 Count",3YRKRDOW0KB9,$10.9730,,9730.5 ¢/count,,,,https://www.walmart.com/ip/3YRKRDOW0KB9,2026-04-23T21:25:20
Always,"Always Infinity with FlexFoam Pads, Size 5, Extra Heavy Overnight, Wings, 40 CT",4NMOA8YBCAGK,$15.9739,,9739.9 ¢/count,,,,https://www.walmart.com/ip/4NMOA8YBCAGK,2026-04-23T21:25:20
Always,"Always Ultra Thin Pads with Wings, Size 2, Long Super Absorbency, 20 CT",77ODN2SJDSKG,$4.9724,,9724.9 ¢/count,,,,https://www.walmart.com/ip/77ODN2SJDSKG,2026-04-23T21:25:20
Always,"Always Ultra Thin Overnight Pads with Wings, Size 4, Overnight, 50 Count",1MV945JQOIP2,$11.4722,,4722.9 ¢/count,,,,https://www.walmart.com/ip/1MV945JQOIP2,2026-04-23T21:25:20
Always,"Always Ultra Thin Pads Without Wings, Size 2, Long Super Absorbency, 40 Count",3EOSCRGNLSAU,$7.2418,,2418.1 ¢/count,,,,https://www.walmart.com/ip/3EOSCRGNLSAU,2026-04-23T21:25:20
Always,"Always Infinity Feminine Pads for Women with Wings, Size 2 Heavy, Unscented, 46 Count",5LWK03I4WI14,$11.4724,,4724.9 ¢/count,,,,https://www.walmart.com/ip/5LWK03I4WI14,2026-04-23T21:25:20
Always,"Always Pads, Ultra Thin with Wings, Size 2, Long Super Absorbency, 58 Count",0VVILBU3EPRB,$11.4719,,4719.8 ¢/count,,,,https://www.walmart.com/ip/0VVILBU3EPRB,2026-04-23T21:25:20
